energy_center_MeV,annihil,compt,conv,primary,other,total
0.397500,41.000000,2.000000,1.000000,3.000000,26.000000,73.000000
0.402500,33.000000,0.000000,0.000000,1.000000,24.000000,58.000000
0.407500,29.000000,1.000000,0.000000,2.000000,19.000000,51.000000
0.412500,30.000000,0.000000,0.000000,2.000000,31.000000,63.000000
0.417500,34.000000,0.000000,1.000000,2.000000,26.000000,63.000000
0.422500,31.000000,1.000000,0.000000,0.000000,27.000000,59.000000
0.427500,27.000000,1.000000,0.000000,2.000000,22.000000,52.000000
0.432500,44.000000,1.000000,0.000000,5.000000,17.000000,67.000000
0.437500,29.000000,0.000000,0.000000,3.000000,16.000000,48.000000
0.442500,41.000000,0.000000,0.000000,1.000000,23.000000,65.000000
0.447500,32.000000,1.000000,3.000000,1.000000,19.000000,56.000000
0.452500,35.000000,1.000000,2.000000,2.000000,15.000000,55.000000
0.457500,30.000000,0.000000,0.000000,1.000000,14.000000,45.000000
0.462500,41.000000,0.000000,1.000000,2.000000,18.000000,62.000000
0.467500,44.000000,2.000000,0.000000,5.000000,21.000000,72.000000
0.472500,36.000000,2.000000,1.000000,3.000000,28.000000,70.000000
0.477500,35.000000,2.000000,1.000000,2.000000,14.000000,54.000000
0.482500,41.000000,2.000000,1.000000,0.000000,16.000000,60.000000
0.487500,45.000000,3.000000,0.000000,2.000000,14.000000,64.000000
0.492500,32.000000,2.000000,0.000000,2.000000,5.000000,41.000000
0.497500,48.000000,1.000000,0.000000,3.000000,16.000000,68.000000
0.502500,29.000000,0.000000,0.000000,2.000000,21.000000,52.000000
0.507500,41.000000,0.000000,0.000000,2.000000,14.000000,57.000000
0.512500,4425.000000,0.000000,0.000000,0.000000,16.000000,4441.000000
0.517500,3.000000,1.000000,0.000000,2.000000,11.000000,17.000000
0.522500,1.000000,1.000000,0.000000,3.000000,11.000000,16.000000
0.527500,6.000000,4.000000,1.000000,0.000000,14.000000,25.000000
0.532500,4.000000,1.000000,1.000000,3.000000,8.000000,17.000000
0.537500,2.000000,0.000000,1.000000,6.000000,12.000000,21.000000
0.542500,5.000000,0.000000,0.000000,3.000000,13.000000,21.000000
0.547500,4.000000,2.000000,1.000000,4.000000,12.000000,23.000000
0.552500,1.000000,0.000000,1.000000,4.000000,18.000000,24.000000
0.557500,2.000000,0.000000,1.000000,6.000000,7.000000,16.000000
0.562500,3.000000,1.000000,1.000000,4.000000,12.000000,21.000000
0.567500,4.000000,1.000000,0.000000,3.000000,9.000000,17.000000
0.572500,3.000000,0.000000,2.000000,2.000000,16.000000,23.000000
0.577500,3.000000,0.000000,1.000000,5.000000,10.000000,19.000000
0.582500,1.000000,0.000000,0.000000,7.000000,19.000000,27.000000
0.587500,5.000000,0.000000,1.000000,5.000000,15.000000,26.000000
0.592500,0.000000,0.000000,0.000000,4.000000,17.000000,21.000000
0.597500,5.000000,1.000000,1.000000,5.000000,11.000000,23.000000
0.602500,2.000000,1.000000,1.000000,3.000000,10.000000,17.000000
0.607500,2.000000,0.000000,0.000000,3.000000,16.000000,21.000000
0.612500,1.000000,0.000000,0.000000,7.000000,19.000000,27.000000
0.617500,5.000000,0.000000,0.000000,2.000000,10.000000,17.000000
0.622500,3.000000,0.000000,1.000000,5.000000,14.000000,23.000000
0.627500,2.000000,1.000000,0.000000,2.000000,20.000000,25.000000
0.632500,2.000000,1.000000,1.000000,4.000000,5.000000,13.000000
0.637500,3.000000,0.000000,2.000000,3.000000,9.000000,17.000000
0.642500,5.000000,3.000000,0.000000,6.000000,8.000000,22.000000
0.647500,3.000000,1.000000,1.000000,2.000000,11.000000,18.000000
0.652500,1.000000,1.000000,0.000000,5.000000,10.000000,17.000000
0.657500,1.000000,1.000000,1.000000,7.000000,11.000000,21.000000
0.662500,3.000000,2.000000,2.000000,4.000000,12.000000,23.000000
0.667500,1.000000,2.000000,1.000000,5.000000,7.000000,16.000000
0.672500,1.000000,1.000000,0.000000,4.000000,17.000000,23.000000
0.677500,1.000000,1.000000,0.000000,6.000000,19.000000,27.000000
0.682500,5.000000,1.000000,2.000000,5.000000,13.000000,26.000000
0.687500,3.000000,0.000000,0.000000,6.000000,9.000000,18.000000
0.692500,2.000000,1.000000,0.000000,7.000000,4.000000,14.000000
0.697500,3.000000,0.000000,0.000000,9.000000,9.000000,21.000000
0.702500,3.000000,0.000000,0.000000,6.000000,13.000000,22.000000
0.707500,2.000000,0.000000,1.000000,5.000000,8.000000,16.000000
0.712500,3.000000,1.000000,0.000000,3.000000,9.000000,16.000000
0.717500,0.000000,3.000000,0.000000,2.000000,9.000000,14.000000
0.722500,4.000000,0.000000,0.000000,9.000000,10.000000,23.000000
0.727500,4.000000,0.000000,2.000000,6.000000,6.000000,18.000000
0.732500,4.000000,2.000000,2.000000,4.000000,17.000000,29.000000
0.737500,2.000000,1.000000,0.000000,4.000000,9.000000,16.000000
0.742500,2.000000,0.000000,0.000000,8.000000,8.000000,18.000000
0.747500,7.000000,1.000000,1.000000,6.000000,10.000000,25.000000
0.752500,2.000000,1.000000,1.000000,3.000000,8.000000,15.000000
0.757500,2.000000,0.000000,3.000000,6.000000,8.000000,19.000000
0.762500,2.000000,0.000000,2.000000,9.000000,10.000000,23.000000
0.767500,2.000000,2.000000,0.000000,6.000000,8.000000,18.000000
0.772500,4.000000,1.000000,1.000000,3.000000,11.000000,20.000000
0.777500,1.000000,0.000000,1.000000,5.000000,6.000000,13.000000
0.782500,2.000000,2.000000,0.000000,6.000000,11.000000,21.000000
0.787500,1.000000,0.000000,0.000000,10.000000,6.000000,17.000000
0.792500,2.000000,2.000000,0.000000,8.000000,7.000000,19.000000
0.797500,5.000000,1.000000,0.000000,11.000000,6.000000,23.000000
0.802500,4.000000,0.000000,2.000000,7.000000,10.000000,23.000000
0.807500,0.000000,1.000000,1.000000,5.000000,10.000000,17.000000
0.812500,2.000000,0.000000,0.000000,6.000000,3.000000,11.000000
0.817500,0.000000,1.000000,0.000000,4.000000,9.000000,14.000000
0.822500,3.000000,0.000000,1.000000,11.000000,5.000000,20.000000
0.827500,1.000000,0.000000,0.000000,7.000000,7.000000,15.000000
0.832500,1.000000,1.000000,0.000000,8.000000,4.000000,14.000000
0.837500,0.000000,2.000000,0.000000,8.000000,9.000000,19.000000
0.842500,2.000000,2.000000,1.000000,8.000000,11.000000,24.000000
0.847500,2.000000,4.000000,2.000000,12.000000,10.000000,30.000000
0.852500,4.000000,0.000000,0.000000,7.000000,9.000000,20.000000
0.857500,0.000000,1.000000,1.000000,15.000000,6.000000,23.000000
0.862500,1.000000,1.000000,1.000000,15.000000,8.000000,26.000000
0.867500,1.000000,0.000000,0.000000,6.000000,9.000000,16.000000
0.872500,0.000000,0.000000,0.000000,5.000000,7.000000,12.000000
0.877500,1.000000,0.000000,1.000000,14.000000,5.000000,21.000000
0.882500,0.000000,1.000000,0.000000,11.000000,8.000000,20.000000
0.887500,0.000000,3.000000,0.000000,7.000000,5.000000,15.000000
0.892500,4.000000,0.000000,0.000000,10.000000,8.000000,22.000000
0.897500,3.000000,0.000000,2.000000,7.000000,13.000000,25.000000
0.902500,3.000000,0.000000,2.000000,9.000000,6.000000,20.000000
0.907500,2.000000,3.000000,0.000000,11.000000,2.000000,18.000000
0.912500,0.000000,0.000000,2.000000,16.000000,6.000000,24.000000
0.917500,2.000000,1.000000,0.000000,7.000000,4.000000,14.000000
0.922500,3.000000,1.000000,0.000000,13.000000,7.000000,24.000000
0.927500,1.000000,0.000000,1.000000,7.000000,5.000000,14.000000
0.932500,3.000000,0.000000,0.000000,9.000000,5.000000,17.000000
0.937500,2.000000,3.000000,3.000000,8.000000,4.000000,20.000000
0.942500,3.000000,2.000000,2.000000,10.000000,12.000000,29.000000
0.947500,1.000000,3.000000,0.000000,14.000000,7.000000,25.000000
0.952500,4.000000,1.000000,0.000000,11.000000,5.000000,21.000000
0.957500,2.000000,3.000000,0.000000,14.000000,5.000000,24.000000
0.962500,2.000000,1.000000,2.000000,10.000000,3.000000,18.000000
0.967500,2.000000,0.000000,1.000000,4.000000,4.000000,11.000000
0.972500,0.000000,1.000000,0.000000,7.000000,2.000000,10.000000
0.977500,3.000000,2.000000,0.000000,16.000000,8.000000,29.000000
0.982500,0.000000,0.000000,3.000000,13.000000,3.000000,19.000000
0.987500,0.000000,2.000000,1.000000,15.000000,8.000000,26.000000
0.992500,2.000000,0.000000,0.000000,12.000000,4.000000,18.000000
0.997500,3.000000,2.000000,0.000000,9.000000,4.000000,18.000000
1.002500,2.000000,2.000000,1.000000,14.000000,6.000000,25.000000
1.007500,2.000000,1.000000,0.000000,15.000000,3.000000,21.000000
